id,hand,session,Accelerometer X,Accelerometer Y,Accelerometer Z,datetime
TD6,dx,dom,0.332,1.207,-1.629,2017-06-06 16:09:20.000000
TD6,dx,dom,0.84,0.395,-1.855,2017-06-06 16:09:20.012500
TD6,dx,dom,0.789,0.227,-1.457,2017-06-06 16:09:20.025000
TD6,dx,dom,0.672,0.168,-1.305,2017-06-06 16:09:20.037500
TD6,dx,dom,0.676,0.0,-1.191,2017-06-06 16:09:20.050000
TD6,dx,dom,0.809,-0.172,-1.039,2017-06-06 16:09:20.062500
TD6,dx,dom,1.098,-0.379,-1.168,2017-06-06 16:09:20.075000
TD6,dx,dom,1.18,-0.332,-1.004,2017-06-06 16:09:20.087500
TD6,dx,dom,0.977,-0.043,-0.848,2017-06-06 16:09:20.100000
TD6,dx,dom,0.566,0.008,-0.91,2017-06-06 16:09:20.112500
TD6,dx,dom,0.367,-0.152,-1.117,2017-06-06 16:09:20.125000
TD6,dx,dom,0.211,-0.289,-1.207,2017-06-06 16:09:20.137500
TD6,dx,dom,0.055,-0.352,-1.234,2017-06-06 16:09:20.150000
TD6,dx,dom,0.184,-0.418,-1.371,2017-06-06 16:09:20.162500
TD6,dx,dom,0.602,-0.551,-1.445,2017-06-06 16:09:20.175000
TD6,dx,dom,0.891,-0.625,-1.477,2017-06-06 16:09:20.187500
TD6,dx,dom,0.82,-0.527,-1.426,2017-06-06 16:09:20.200000
TD6,dx,dom,0.547,-0.281,-1.383,2017-06-06 16:09:20.212500
TD6,dx,dom,0.523,0.023,-1.27,2017-06-06 16:09:20.225000
TD6,dx,dom,0.695,0.422,-1.016,2017-06-06 16:09:20.237500
TD6,dx,dom,0.809,0.789,-0.746,2017-06-06 16:09:20.250000
TD6,dx,dom,0.746,0.965,-0.645,2017-06-06 16:09:20.262500
TD6,dx,dom,0.582,0.934,-0.602,2017-06-06 16:09:20.275000
TD6,dx,dom,0.43,0.902,-0.574,2017-06-06 16:09:20.287500
TD6,dx,dom,0.301,0.922,-0.445,2017-06-06 16:09:20.300000
TD6,dx,dom,0.219,1.066,-0.207,2017-06-06 16:09:20.312500
TD6,dx,dom,0.344,1.176,-0.035,2017-06-06 16:09:20.325000
TD6,dx,dom,0.609,0.969,0.012,2017-06-06 16:09:20.337500
TD6,dx,dom,0.641,0.559,0.016,2017-06-06 16:09:20.350000
TD6,dx,dom,0.352,0.18,-0.035,2017-06-06 16:09:20.362500
TD6,dx,dom,0.031,-0.184,-0.152,2017-06-06 16:09:20.375000
TD6,dx,dom,-0.07,-0.684,-0.504,2017-06-06 16:09:20.387500
TD6,dx,dom,-0.027,-1.184,-0.742,2017-06-06 16:09:20.400000
TD6,dx,dom,0.172,-1.98,-0.906,2017-06-06 16:09:20.412500
TD6,dx,dom,0.184,-2.656,-1.102,2017-06-06 16:09:20.425000
TD6,dx,dom,-0.27,-2.625,-1.242,2017-06-06 16:09:20.437500
TD6,dx,dom,-0.504,-2.242,-1.398,2017-06-06 16:09:20.450000
TD6,dx,dom,-0.594,-1.566,-1.465,2017-06-06 16:09:20.462500
TD6,dx,dom,-0.543,-0.973,-1.277,2017-06-06 16:09:20.475000
TD6,dx,dom,-0.215,-0.578,-0.766,2017-06-06 16:09:20.487500
TD6,dx,dom,0.258,-0.184,-0.133,2017-06-06 16:09:20.500000
TD6,dx,dom,0.852,0.504,0.102,2017-06-06 16:09:20.512500
TD6,dx,dom,1.395,1.41,0.133,2017-06-06 16:09:20.525000
TD6,dx,dom,1.688,2.059,-0.109,2017-06-06 16:09:20.537500
TD6,dx,dom,1.461,2.293,-0.359,2017-06-06 16:09:20.550000
TD6,dx,dom,0.988,2.066,-0.492,2017-06-06 16:09:20.562500
TD6,dx,dom,0.781,1.66,-0.746,2017-06-06 16:09:20.575000
TD6,dx,dom,0.887,1.137,-1.109,2017-06-06 16:09:20.587500
TD6,dx,dom,1.141,0.422,-1.367,2017-06-06 16:09:20.600000
TD6,dx,dom,1.066,-0.02,-1.258,2017-06-06 16:09:20.612500
TD6,dx,dom,0.84,-0.258,-1.117,2017-06-06 16:09:20.625000
TD6,dx,dom,0.672,-0.66,-1.57,2017-06-06 16:09:20.637500
TD6,dx,dom,0.398,-1.25,-2.523,2017-06-06 16:09:20.650000
TD6,dx,dom,0.063,-1.379,-2.063,2017-06-06 16:09:20.662500
TD6,dx,dom,-0.121,-0.961,-1.047,2017-06-06 16:09:20.675000
TD6,dx,dom,0.156,-0.652,-0.816,2017-06-06 16:09:20.687500
TD6,dx,dom,0.52,-0.309,-0.996,2017-06-06 16:09:20.700000
TD6,dx,dom,0.496,-0.289,-1.301,2017-06-06 16:09:20.712500
TD6,dx,dom,0.441,-0.426,-1.242,2017-06-06 16:09:20.725000
TD6,dx,dom,0.613,-0.629,-1.566,2017-06-06 16:09:20.737500
TD6,dx,dom,0.773,-0.539,-1.484,2017-06-06 16:09:20.750000
TD6,dx,dom,0.719,-0.371,-1.559,2017-06-06 16:09:20.762500
TD6,dx,dom,0.598,-0.156,-1.559,2017-06-06 16:09:20.775000
TD6,dx,dom,0.582,0.145,-1.273,2017-06-06 16:09:20.787500
TD6,dx,dom,0.809,0.461,-0.789,2017-06-06 16:09:20.800000
TD6,dx,dom,1.117,0.754,-0.273,2017-06-06 16:09:20.812500
TD6,dx,dom,1.066,1.0,0.102,2017-06-06 16:09:20.825000
TD6,dx,dom,0.504,0.98,0.273,2017-06-06 16:09:20.837500
TD6,dx,dom,-0.129,1.082,0.453,2017-06-06 16:09:20.850000
TD6,dx,dom,-0.652,1.313,0.582,2017-06-06 16:09:20.862500
TD6,dx,dom,-0.816,1.293,0.559,2017-06-06 16:09:20.875000
TD6,dx,dom,-0.477,0.926,0.469,2017-06-06 16:09:20.887500
TD6,dx,dom,-0.039,0.43,0.23,2017-06-06 16:09:20.900000
TD6,dx,dom,0.328,-0.523,-0.609,2017-06-06 16:09:20.912500
TD6,dx,dom,0.363,-1.328,-0.703,2017-06-06 16:09:20.925000
TD6,dx,dom,0.129,-2.23,-1.055,2017-06-06 16:09:20.937500
TD6,dx,dom,-0.191,-2.828,-1.484,2017-06-06 16:09:20.950000
TD6,dx,dom,-0.359,-2.984,-1.824,2017-06-06 16:09:20.962500
TD6,dx,dom,-0.297,-2.379,-1.93,2017-06-06 16:09:20.975000
TD6,dx,dom,-0.176,-1.43,-1.727,2017-06-06 16:09:20.987500
TD6,dx,dom,0.043,-0.848,-1.168,2017-06-06 16:09:21.000000
TD6,dx,dom,0.332,-0.551,-0.426,2017-06-06 16:09:21.012500
TD6,dx,dom,0.594,-0.156,0.203,2017-06-06 16:09:21.025000
TD6,dx,dom,0.707,0.34,0.457,2017-06-06 16:09:21.037500
TD6,dx,dom,1.039,1.266,0.938,2017-06-06 16:09:21.050000
TD6,dx,dom,1.523,2.984,1.215,2017-06-06 16:09:21.062500
TD6,dx,dom,1.313,3.012,0.926,2017-06-06 16:09:21.075000
TD6,dx,dom,0.93,2.02,0.352,2017-06-06 16:09:21.087500
TD6,dx,dom,1.004,1.27,-0.406,2017-06-06 16:09:21.100000
TD6,dx,dom,1.438,0.52,-1.52,2017-06-06 16:09:21.112500
TD6,dx,dom,1.398,-0.043,-1.609,2017-06-06 16:09:21.125000
TD6,dx,dom,0.723,-0.02,-1.414,2017-06-06 16:09:21.137500
TD6,dx,dom,0.188,-0.156,-1.695,2017-06-06 16:09:21.150000
TD6,dx,dom,0.641,-0.766,-2.148,2017-06-06 16:09:21.162500
TD6,dx,dom,0.457,-0.934,-1.414,2017-06-06 16:09:21.175000
TD6,dx,dom,0.316,-1.18,-1.152,2017-06-06 16:09:21.187500
TD6,dx,dom,0.738,-1.328,-0.703,2017-06-06 16:09:21.200000
TD6,dx,dom,1.332,-1.109,-0.211,2017-06-06 16:09:21.212500
TD6,dx,dom,1.395,-0.641,-0.07,2017-06-06 16:09:21.225000
TD6,dx,dom,0.957,-0.242,-0.473,2017-06-06 16:09:21.237500
TD6,dx,dom,0.402,0.023,-0.555,2017-06-06 16:09:21.250000
TD6,dx,dom,-0.059,0.16,-0.785,2017-06-06 16:09:21.262500
TD6,dx,dom,-0.316,0.008,-1.5,2017-06-06 16:09:21.275000
TD6,dx,dom,-0.109,-0.172,-1.543,2017-06-06 16:09:21.287500
TD6,dx,dom,0.367,0.051,-1.352,2017-06-06 16:09:21.300000
TD6,dx,dom,0.941,0.238,-1.137,2017-06-06 16:09:21.312500
TD6,dx,dom,1.02,0.043,-1.066,2017-06-06 16:09:21.325000
TD6,dx,dom,0.676,-0.52,-1.383,2017-06-06 16:09:21.337500
TD6,dx,dom,0.25,-1.105,-1.723,2017-06-06 16:09:21.350000
TD6,dx,dom,0.375,-1.582,-2.078,2017-06-06 16:09:21.362500
TD6,dx,dom,0.93,-1.508,-1.895,2017-06-06 16:09:21.375000
TD6,dx,dom,1.277,-1.004,-1.539,2017-06-06 16:09:21.387500
TD6,dx,dom,1.012,-0.488,-1.27,2017-06-06 16:09:21.400000
TD6,dx,dom,0.781,-0.145,-0.949,2017-06-06 16:09:21.412500
TD6,dx,dom,1.016,0.273,-0.27,2017-06-06 16:09:21.425000
TD6,dx,dom,1.711,1.027,0.602,2017-06-06 16:09:21.437500
TD6,dx,dom,2.242,1.844,0.984,2017-06-06 16:09:21.450000
TD6,dx,dom,1.48,1.824,0.816,2017-06-06 16:09:21.462500
TD6,dx,dom,0.313,1.461,0.668,2017-06-06 16:09:21.475000
TD6,dx,dom,-0.523,1.332,0.563,2017-06-06 16:09:21.487500
TD6,dx,dom,-0.809,1.422,0.559,2017-06-06 16:09:21.500000
TD6,dx,dom,-0.723,1.578,0.75,2017-06-06 16:09:21.512500
TD6,dx,dom,-0.473,1.293,0.746,2017-06-06 16:09:21.525000
TD6,dx,dom,-0.195,0.793,0.602,2017-06-06 16:09:21.537500
TD6,dx,dom,0.027,0.266,0.445,2017-06-06 16:09:21.550000
TD6,dx,dom,0.152,-0.309,0.102,2017-06-06 16:09:21.562500
TD6,dx,dom,0.391,-1.723,-0.684,2017-06-06 16:09:21.575000
TD6,dx,dom,0.445,-3.047,-0.82,2017-06-06 16:09:21.587500
