id,hand,session,Accelerometer X,Accelerometer Y,Accelerometer Z,datetime
UCP7,dx,dom,0.281,0.477,-0.875,2017-01-19 15:32:00.000000
UCP7,dx,dom,0.285,0.465,-0.887,2017-01-19 15:32:00.012500
UCP7,dx,dom,0.285,0.461,-0.891,2017-01-19 15:32:00.025000
UCP7,dx,dom,0.289,0.465,-0.887,2017-01-19 15:32:00.037500
UCP7,dx,dom,0.285,0.461,-0.887,2017-01-19 15:32:00.050000
UCP7,dx,dom,0.273,0.453,-0.891,2017-01-19 15:32:00.062500
UCP7,dx,dom,0.266,0.449,-0.883,2017-01-19 15:32:00.075000
UCP7,dx,dom,0.262,0.445,-0.887,2017-01-19 15:32:00.087500
UCP7,dx,dom,0.262,0.438,-0.883,2017-01-19 15:32:00.100000
UCP7,dx,dom,0.258,0.449,-0.875,2017-01-19 15:32:00.112500
UCP7,dx,dom,0.258,0.461,-0.879,2017-01-19 15:32:00.125000
UCP7,dx,dom,0.254,0.449,-0.895,2017-01-19 15:32:00.137500
UCP7,dx,dom,0.254,0.457,-0.875,2017-01-19 15:32:00.150000
UCP7,dx,dom,0.262,0.477,-0.859,2017-01-19 15:32:00.162500
UCP7,dx,dom,0.262,0.484,-0.848,2017-01-19 15:32:00.175000
UCP7,dx,dom,0.262,0.48,-0.871,2017-01-19 15:32:00.187500
UCP7,dx,dom,0.266,0.508,-0.855,2017-01-19 15:32:00.200000
UCP7,dx,dom,0.285,0.512,-0.855,2017-01-19 15:32:00.212500
UCP7,dx,dom,0.301,0.508,-0.859,2017-01-19 15:32:00.225000
UCP7,dx,dom,0.309,0.496,-0.871,2017-01-19 15:32:00.237500
UCP7,dx,dom,0.305,0.488,-0.867,2017-01-19 15:32:00.250000
UCP7,dx,dom,0.297,0.488,-0.871,2017-01-19 15:32:00.262500
UCP7,dx,dom,0.305,0.492,-0.867,2017-01-19 15:32:00.275000
UCP7,dx,dom,0.313,0.5,-0.859,2017-01-19 15:32:00.287500
UCP7,dx,dom,0.316,0.5,-0.852,2017-01-19 15:32:00.300000
UCP7,dx,dom,0.32,0.488,-0.848,2017-01-19 15:32:00.312500
UCP7,dx,dom,0.32,0.484,-0.855,2017-01-19 15:32:00.325000
UCP7,dx,dom,0.313,0.48,-0.863,2017-01-19 15:32:00.337500
UCP7,dx,dom,0.313,0.477,-0.863,2017-01-19 15:32:00.350000
UCP7,dx,dom,0.305,0.477,-0.867,2017-01-19 15:32:00.362500
UCP7,dx,dom,0.297,0.473,-0.871,2017-01-19 15:32:00.375000
UCP7,dx,dom,0.297,0.457,-0.859,2017-01-19 15:32:00.387500
UCP7,dx,dom,0.301,0.453,-0.859,2017-01-19 15:32:00.400000
UCP7,dx,dom,0.305,0.469,-0.863,2017-01-19 15:32:00.412500
UCP7,dx,dom,0.336,0.484,-0.852,2017-01-19 15:32:00.425000
UCP7,dx,dom,0.363,0.496,-0.832,2017-01-19 15:32:00.437500
UCP7,dx,dom,0.363,0.504,-0.828,2017-01-19 15:32:00.450000
UCP7,dx,dom,0.336,0.488,-0.824,2017-01-19 15:32:00.462500
UCP7,dx,dom,0.336,0.473,-0.863,2017-01-19 15:32:00.475000
UCP7,dx,dom,0.328,0.477,-0.832,2017-01-19 15:32:00.487500
UCP7,dx,dom,0.336,0.465,-0.848,2017-01-19 15:32:00.500000
UCP7,dx,dom,0.348,0.461,-0.844,2017-01-19 15:32:00.512500
UCP7,dx,dom,0.355,0.473,-0.836,2017-01-19 15:32:00.525000
