Accelerometer X,Accelerometer Y,Accelerometer Z,hand,session,datetime,id
-0.449,1.188,-0.172,sx,dom,2017-10-23 17:42:35.000000,UCP0
-0.297,1.129,-0.059,sx,dom,2017-10-23 17:42:35.012500,UCP0
-0.129,0.969,0.078,sx,dom,2017-10-23 17:42:35.025000,UCP0
0.039,0.797,0.152,sx,dom,2017-10-23 17:42:35.037500,UCP0
0.176,0.668,0.164,sx,dom,2017-10-23 17:42:35.050000,UCP0
0.301,0.523,0.121,sx,dom,2017-10-23 17:42:35.062500,UCP0
0.398,0.355,0.078,sx,dom,2017-10-23 17:42:35.075000,UCP0
0.43,0.199,0.063,sx,dom,2017-10-23 17:42:35.087500,UCP0
0.355,0.047,-0.012,sx,dom,2017-10-23 17:42:35.100000,UCP0
0.188,-0.223,-0.5,sx,dom,2017-10-23 17:42:35.112500,UCP0
0.07,-0.441,-0.82,sx,dom,2017-10-23 17:42:35.125000,UCP0
0.035,-0.574,-1.02,sx,dom,2017-10-23 17:42:35.137500,UCP0
0.25,-0.844,-0.859,sx,dom,2017-10-23 17:42:35.150000,UCP0
0.609,-1.816,-1.496,sx,dom,2017-10-23 17:42:35.162500,UCP0
1.148,-3.348,-1.426,sx,dom,2017-10-23 17:42:35.175000,UCP0
2.242,-5.055,-0.898,sx,dom,2017-10-23 17:42:35.187500,UCP0
1.844,-3.902,-0.648,sx,dom,2017-10-23 17:42:35.200000,UCP0
1.105,-2.281,-0.613,sx,dom,2017-10-23 17:42:35.212500,UCP0
0.703,-1.402,-0.488,sx,dom,2017-10-23 17:42:35.225000,UCP0
0.281,-0.934,-0.27,sx,dom,2017-10-23 17:42:35.237500,UCP0
-0.176,-0.691,0.07,sx,dom,2017-10-23 17:42:35.250000,UCP0
-0.609,-0.582,0.336,sx,dom,2017-10-23 17:42:35.262500,UCP0
-0.879,-0.328,0.449,sx,dom,2017-10-23 17:42:35.275000,UCP0
-1.02,-0.031,0.73,sx,dom,2017-10-23 17:42:35.287500,UCP0
-1.203,0.262,1.066,sx,dom,2017-10-23 17:42:35.300000,UCP0
-1.488,0.699,0.754,sx,dom,2017-10-23 17:42:35.312500,UCP0
-2.023,1.348,0.438,sx,dom,2017-10-23 17:42:35.325000,UCP0
-2.359,2.137,0.25,sx,dom,2017-10-23 17:42:35.337500,UCP0
-1.824,2.215,0.094,sx,dom,2017-10-23 17:42:35.350000,UCP0
-1.047,1.863,-0.059,sx,dom,2017-10-23 17:42:35.362500,UCP0
-0.504,1.547,-0.273,sx,dom,2017-10-23 17:42:35.375000,UCP0
-0.32,1.484,-0.406,sx,dom,2017-10-23 17:42:35.387500,UCP0
-0.605,1.656,-0.492,sx,dom,2017-10-23 17:42:35.400000,UCP0
-0.984,1.527,-0.777,sx,dom,2017-10-23 17:42:35.412500,UCP0
-1.098,0.98,-1.023,sx,dom,2017-10-23 17:42:35.425000,UCP0
-1.094,0.594,-1.063,sx,dom,2017-10-23 17:42:35.437500,UCP0
-0.926,0.328,-1.16,sx,dom,2017-10-23 17:42:35.450000,UCP0
-0.648,0.055,-1.238,sx,dom,2017-10-23 17:42:35.462500,UCP0
-0.406,-0.168,-1.289,sx,dom,2017-10-23 17:42:35.475000,UCP0
-0.414,-0.34,-1.336,sx,dom,2017-10-23 17:42:35.487500,UCP0
-0.66,-0.332,-1.352,sx,dom,2017-10-23 17:42:35.500000,UCP0
-0.793,-0.098,-1.238,sx,dom,2017-10-23 17:42:35.512500,UCP0
-0.762,0.141,-1.176,sx,dom,2017-10-23 17:42:35.525000,UCP0
-0.668,0.297,-1.211,sx,dom,2017-10-23 17:42:35.537500,UCP0
-0.723,0.395,-1.191,sx,dom,2017-10-23 17:42:35.550000,UCP0
-0.922,0.387,-1.578,sx,dom,2017-10-23 17:42:35.562500,UCP0
-1.047,0.406,-1.535,sx,dom,2017-10-23 17:42:35.575000,UCP0
-0.965,0.465,-1.371,sx,dom,2017-10-23 17:42:35.587500,UCP0
-0.832,0.625,-1.207,sx,dom,2017-10-23 17:42:35.600000,UCP0
-0.781,0.82,-1.023,sx,dom,2017-10-23 17:42:35.612500,UCP0
-0.789,0.961,-0.863,sx,dom,2017-10-23 17:42:35.625000,UCP0
-0.789,1.023,-0.695,sx,dom,2017-10-23 17:42:35.637500,UCP0
-0.742,1.047,-0.512,sx,dom,2017-10-23 17:42:35.650000,UCP0
-0.727,1.133,-0.32,sx,dom,2017-10-23 17:42:35.662500,UCP0
-0.809,1.277,-0.145,sx,dom,2017-10-23 17:42:35.675000,UCP0
-0.887,1.395,0.105,sx,dom,2017-10-23 17:42:35.687500,UCP0
-0.801,1.297,0.32,sx,dom,2017-10-23 17:42:35.700000,UCP0
-0.668,0.992,0.414,sx,dom,2017-10-23 17:42:35.712500,UCP0
-0.516,0.652,0.406,sx,dom,2017-10-23 17:42:35.725000,UCP0
-0.336,0.383,0.359,sx,dom,2017-10-23 17:42:35.737500,UCP0
-0.129,0.207,0.297,sx,dom,2017-10-23 17:42:35.750000,UCP0
0.047,0.102,0.203,sx,dom,2017-10-23 17:42:35.762500,UCP0
0.133,0.023,0.043,sx,dom,2017-10-23 17:42:35.775000,UCP0
0.113,-0.125,-0.32,sx,dom,2017-10-23 17:42:35.787500,UCP0
0.043,-0.34,-0.68,sx,dom,2017-10-23 17:42:35.800000,UCP0
-0.063,-0.5,-0.98,sx,dom,2017-10-23 17:42:35.812500,UCP0
-0.105,-0.629,-1.277,sx,dom,2017-10-23 17:42:35.825000,UCP0
-0.023,-0.676,-1.387,sx,dom,2017-10-23 17:42:35.837500,UCP0
0.195,-0.75,-1.332,sx,dom,2017-10-23 17:42:35.850000,UCP0
0.742,-1.617,-1.512,sx,dom,2017-10-23 17:42:35.862500,UCP0
