Axis1,Axis2,Axis3,hand,session,datetime,id
0,0,0,sx,dom,2017-05-16 16:40:00,TD0
0,0,0,sx,dom,2017-05-16 16:40:01,TD0
0,0,0,sx,dom,2017-05-16 16:40:02,TD0
0,0,0,sx,dom,2017-05-16 16:40:03,TD0
0,0,0,sx,dom,2017-05-16 16:40:04,TD0
0,0,0,sx,dom,2017-05-16 16:40:05,TD0
0,0,0,sx,dom,2017-05-16 16:40:06,TD0
0,0,0,sx,dom,2017-05-16 16:40:07,TD0
0,0,0,sx,dom,2017-05-16 16:40:08,TD0
0,0,0,sx,dom,2017-05-16 16:40:09,TD0
0,0,0,sx,dom,2017-05-16 16:40:10,TD0
0,0,0,sx,dom,2017-05-16 16:40:11,TD0
0,0,0,sx,dom,2017-05-16 16:40:12,TD0
0,0,0,sx,dom,2017-05-16 16:40:13,TD0
0,0,0,sx,dom,2017-05-16 16:40:14,TD0
0,0,0,sx,dom,2017-05-16 16:40:15,TD0
0,0,0,sx,dom,2017-05-16 16:40:16,TD0
0,0,0,sx,dom,2017-05-16 16:40:17,TD0
0,0,0,sx,dom,2017-05-16 16:40:18,TD0
0,0,0,sx,dom,2017-05-16 16:40:19,TD0
0,0,0,sx,dom,2017-05-16 16:40:20,TD0
0,0,0,sx,dom,2017-05-16 16:40:21,TD0
0,0,0,sx,dom,2017-05-16 16:40:22,TD0
0,0,0,sx,dom,2017-05-16 16:40:23,TD0
0,0,0,sx,dom,2017-05-16 16:40:24,TD0
0,0,0,sx,dom,2017-05-16 16:40:25,TD0
0,7,7,sx,dom,2017-05-16 16:40:26,TD0
16,4,28,sx,dom,2017-05-16 16:40:27,TD0
91,89,184,sx,dom,2017-05-16 16:40:28,TD0
82,49,53,sx,dom,2017-05-16 16:40:29,TD0
0,0,0,sx,dom,2017-05-16 16:40:30,TD0
0,0,0,sx,dom,2017-05-16 16:40:31,TD0
0,0,0,sx,dom,2017-05-16 16:40:32,TD0
0,0,0,sx,dom,2017-05-16 16:40:33,TD0
0,0,0,sx,dom,2017-05-16 16:40:34,TD0
0,0,0,sx,dom,2017-05-16 16:40:35,TD0
0,0,0,sx,dom,2017-05-16 16:40:36,TD0
0,0,0,sx,dom,2017-05-16 16:40:37,TD0
0,0,0,sx,dom,2017-05-16 16:40:38,TD0
0,0,0,sx,dom,2017-05-16 16:40:39,TD0
0,0,0,sx,dom,2017-05-16 16:40:40,TD0
0,0,0,sx,dom,2017-05-16 16:40:41,TD0
0,0,0,sx,dom,2017-05-16 16:40:42,TD0
0,0,0,sx,dom,2017-05-16 16:40:43,TD0
0,0,0,sx,dom,2017-05-16 16:40:44,TD0
0,0,0,sx,dom,2017-05-16 16:40:45,TD0
0,0,0,sx,dom,2017-05-16 16:40:46,TD0
0,0,0,sx,dom,2017-05-16 16:40:47,TD0
0,0,0,sx,dom,2017-05-16 16:40:48,TD0
0,0,0,sx,dom,2017-05-16 16:40:49,TD0
0,0,0,sx,dom,2017-05-16 16:40:50,TD0
0,0,0,sx,dom,2017-05-16 16:40:51,TD0
0,0,0,sx,dom,2017-05-16 16:40:52,TD0
0,0,0,sx,dom,2017-05-16 16:40:53,TD0
0,0,0,sx,dom,2017-05-16 16:40:54,TD0
0,0,0,sx,dom,2017-05-16 16:40:55,TD0
0,0,0,sx,dom,2017-05-16 16:40:56,TD0
0,0,0,sx,dom,2017-05-16 16:40:57,TD0
0,0,0,sx,dom,2017-05-16 16:40:58,TD0
25,0,0,sx,dom,2017-05-16 16:40:59,TD0
11,0,0,sx,dom,2017-05-16 16:41:00,TD0
58,77,70,dx,dom,2017-05-16 16:40:00,TD0
34,94,71,dx,dom,2017-05-16 16:40:01,TD0
69,64,63,dx,dom,2017-05-16 16:40:02,TD0
81,54,64,dx,dom,2017-05-16 16:40:03,TD0
59,110,54,dx,dom,2017-05-16 16:40:04,TD0
